name,moves
Ruy Lopez,"e4 e5 Nf3 Nc6 Bb5"
Italian Game,"e4 e5 Nf3 Nc6 Bc4"
Scotch Game,"e4 e5 Nf3 Nc6 d4"
Sicilian Defense Open,"e4 c5 Nf3 Nc6 d4 cxd4 Nxd4"
French Defense,"e4 e6"
Caro-Kann Defense,"e4 c6 d4 d5 e5"
Queen's Gambit Declined,"d4 d5 c4 e6 Nc3 Nf6"
Queen's Gambit Accepted,"d4 d5 c4 dxc4"
Slav Defense,"d4 d5 c4 c6 Nf3 Nf6 Nc3"
King's Indian Defense,"d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O"
Nimzo-Indian Defense,"d4 Nf6 c4 e6 Nc3 Bb4"
Grünfeld Defense,"d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4"
English Opening,"c4 e5 Nc3"
Reti Opening,"Nf3 d5 c4 e6"
Dutch Defense,"d4 f5"
Benoni Defense,"d4 Nf6 c4 c5"
Scandinavian Defense,"e4 d5"
Alekhine's Defense,"e4 Nf6 e5 Nd5 d4"
Pirc Defense,"e4 d6 d4 Nf6 Nc3 g6"
Modern Defense,"e4 g6 d4 Bg7"
King's Gambit,"e4 e5 f4"
Vienna Game,"e4 e5 Nc3 Nf6 Bc4"
Danish Gambit,"e4 e5 d4 exd4"
Bird's Opening,"f4 d5 Nf3"
